PC01	Adilabad
PC02	Peddapalli
PC03	Karimnagar
PC04	Nizamabad
PC05	Zahirabad
PC06	Medak
PC07	Malkajgiri
PC08	Secunderabad
PC09	Hyderabad
PC10	Chevella
PC11	Mahbubnagar
PC12	Nagarkurnool
PC13	Nalgonda
PC14	Bhongir
PC15	Warangal
PC16	Mahabubabad
PC17	Khammam
PC18	Araku
PC19	Srikakulam
PC20	Vizianagaram
PC21	Visakhapatnam
PC22	Anakapalli
PC23	Kakinada
PC24	Amalapuram
PC25	Rajahmundry
PC26	Naraspur
PC27	Eluru
PC28	Machilipatnam
PC29	Vijayawada
PC30	Guntur
PC31	Narasaraopet
PC32	Bapatla
PC33	Ongole
PC34	Nandyal
PC35	Kurnool
PC36	Anantapur
PC37	Hindupur
PC38	Cuddapah
PC39	Nellore
PC40	Tirupathi
PC41	Rajampet
PC42	Chittoor
