W001	W001 - Kempegowda Ward	AC150 - Yelahanka	PC27 - Chikballapur
W002	W002 - Chowdeswari Ward	AC150 - Yelahanka	PC27 - Chikballapur
W003	W003 - Atturu	AC150 - Yelahanka	PC27 - Chikballapur
W004	W004 - Yelahanka Satellite Town	AC150 - Yelahanka	PC27 - Chikballapur
W005	W005 - Jakkuru	AC152 - Byatarayanapura	PC24 - Bangalore North
W006	W006 - Thanisandra	AC152 - Byatarayanapura	PC24 - Bangalore North
W007	W007 - Byatarayanapura	AC152 - Byatarayanapura	PC24 - Bangalore North
W008	W008 - Kodigehalli	AC152 - Byatarayanapura	PC24 - Bangalore North
W009	W009 - Vidyaranyapura	AC152 - Byatarayanapura	PC24 - Bangalore North
W010	W010 - Dodda Bommasandra	AC152 - Byatarayanapura	PC24 - Bangalore North
W011	W011 - Kuvempu Nagar	AC152 - Byatarayanapura	PC24 - Bangalore North
W012	W012 - Shettihalli	AC155 - Dasarahalli	PC24 - Bangalore North
W013	W013 - Mallasandra	AC155 - Dasarahalli	PC24 - Bangalore North
W014	W014 - Bagalakunte	AC155 - Dasarahalli	PC24 - Bangalore North
W015	W015 - T Dasarahalli	AC155 - Dasarahalli	PC24 - Bangalore North
W016	W016 - Jalahalli	AC154 - Rajarajeshwarinagar	PC23 - Bangalore Rural
W017	W017 - J P Park	AC154 - Rajarajeshwarinagar	PC23 - Bangalore Rural
W018	W018 - Radhakrishna Temple Ward	AC158 - Hebbal	PC24 - Bangalore North
W019	W019 - Sanjaya Nagar	AC158 - Hebbal	PC24 - Bangalore North
W020	W020 - Ganga Nagar	AC158 - Hebbal	PC24 - Bangalore North
W021	W021 - Hebbala	AC158 - Hebbal	PC24 - Bangalore North
W022	W022 - Vishwanath Nagenahalli	AC158 - Hebbal	PC24 - Bangalore North
W023	W023 - Nagavara	AC160 - Sarvagnanagar	PC25 - Bangalore Central
W024	W024 - HBR Layout	AC160 - Sarvagnanagar	PC25 - Bangalore Central
W025	W025 - Horamavu	AC151 - K.R.Pura	PC24 - Bangalore North
W026	W026 - Ramamurthy Nagar	AC151 - K.R.Pura	PC24 - Bangalore North
W027	W027 - Banasavadi	AC160 - Sarvagnanagar	PC25 - Bangalore Central
W028	W028 - Kammanahalli	AC160 - Sarvagnanagar	PC25 - Bangalore Central
W029	W029 - Kacharkanahalli	AC160 - Sarvagnanagar	PC25 - Bangalore Central
W030	W030 - Kadugondanahalli	AC160 - Sarvagnanagar	PC25 - Bangalore Central
W031	W031 - Kushal Nagar	AC159 - Pulakeshinagar (SC)	PC24 - Bangalore North
W032	W032 - Kaval Bairasandra	AC159 - Pulakeshinagar (SC)	PC24 - Bangalore North
W033	W033 - Manorayanapalya	AC158 - Hebbal	PC24 - Bangalore North
W034	W034 - Gangenahalli	AC158 - Hebbal	PC24 - Bangalore North
W035	W035 - Aramane Nagara	AC157 - Malleshwaram	PC24 - Bangalore North
W036	W036 - Mattikere	AC157 - Malleshwaram	PC24 - Bangalore North
W037	W037 - Yeshwanthpura	AC154 - Rajarajeshwarinagar	PC23 - Bangalore Rural
W038	W038 - HMT Ward	AC154 - Rajarajeshwarinagar	PC23 - Bangalore Rural
W039	W039 - Chokkasandra	AC155 - Dasarahalli	PC24 - Bangalore North
W040	W040 - Dodda Bidarakallu	AC153 - Yeshvanthapura	PC24 - Bangalore North
W041	W041 - Peenya Industrial Area	AC155 - Dasarahalli	PC24 - Bangalore North
W042	W042 - Lakshmi Devi Nagar	AC154 - Rajarajeshwarinagar	PC23 - Bangalore Rural
W043	W043 - Nandini Layout	AC156 - Mahalakshmi Layout	PC24 - Bangalore North
W044	W044 - Marappana Palya	AC156 - Mahalakshmi Layout	PC24 - Bangalore North
W045	W045 - Malleswaram	AC157 - Malleshwaram	PC24 - Bangalore North
W046	W046 - Jayachamarajendra Nagar	AC158 - Hebbal	PC24 - Bangalore North
W047	W047 - Devara Jeevanahalli	AC159 - Pulakeshinagar (SC)	PC24 - Bangalore North
W048	W048 - Muneshwara Nagar	AC159 - Pulakeshinagar (SC)	PC24 - Bangalore North
W049	W049 - Lingarajapura	AC160 - Sarvagnanagar	PC25 - Bangalore Central
W050	W050 - Benniganahalli	AC161 - C.V. Raman Nagar (SC)	PC25 - Bangalore Central
W051	W051 - Vijnanapura	AC151 - K.R.Pura	PC24 - Bangalore North
